Stop Name,Mode,Avg. Delay Seconds
JULES BORDET,B,137.723149967
JULES CESAR,T,122.541722595
JULES CESAR,B,140.724468085
JULES DE TROOZ,T,101.944171467
JUPITER,B,137.011299435
KAPEL RUISBROEK,B,164.917789387
KAREL BOGAERD,B,123.175310759
KARREVELD,T,102.359698223
KARREVELD,B,141.449484536
KATTENBERG,B,160.936451898
KELLE,B,152.282727489
KERK RUISBROEK,B,165.317330837
KERK VILVOORDE,B,161.496586599
KEYENBEMPT,T,105.232066983
KEYM,B,133.246755908
KONKEL,B,94.352210083
KRAAINEM,B,119.292837715
KRAAINEM-SHOPPING,B,185.090379009
KRUIPWEG,B,128.420500095
KURTH,B,118.393956563
LA CHASSE,T,91.303576888
LA CHASSE,B,124.087320417
LA ROUE,M,87.856704012
LABEUR,B,138.740234375
LAINE,B,114.462136847
LANCASTER,T,123.435617104
LANGEVELD,B,151.116260163
LATINIS,B,113.488010204
LE ROUX,B,151.912693961
LEFRANCQ,T,89.538940810
LEGRAND,T,107.789721477
LEKAERTS,T,182.245227606
LEKAERTS,B,115.469480210
LEMAN,B,131.008792589
LEMONNIER,T,114.078178092
LENNEKE MARE,B,125.350881430
LENOIR,T,99.794207317
LEOPOLD I,B,135.071642261
LEOPOLD II,T,124.679437001
LEOPOLD III,T,128.561917690
LEOPOLD III,B,131.162815690
LEPOUTRE,B,155.371326165
LEROY,B,115.037277984
LES 3 TILLEULS,B,121.871383102
LEVIE,B,129.989708405
LEVURE,T,89.110961969
LEVURE,B,152.496383363
LIBERTE,B,104.316896471
LIEDTS,T,126.343516101
LIVERPOOL,B,91.719986807
LIVINGSTONE,B,141.872392211
LOISIRS,B,132.137824155
LOMBARDIE,T,108.758820059
LONG BONNIER,B,148.198740076
LONG-CHENE,B,211.097777778
LONGCHAMP,T,98.395996209
LONGCHAMP,B,119.717413572
LORGE,B,158.011291978
LOT STATION,B,108.055910543
LOUIS BERTRAND,T,93.190193450
LOUIS BERTRAND,B,118.317717370
LOUIS HAP,B,142.097371565
LOUIS MARCELIS,T,121.170295924
LOUIS MARCELIS,B,186.802083333
LOUISE,T,107.765558562
LOUISE,M,127.868417266
LOUISE,B,214.586461341
LOUTRIER,B,156.384791123
LOWET,B,131.840080211
LOYAUTE,B,131.153934686
LUTHER,B,160.110429448
LUXEMBOURG,B,155.450986627
MA CAMPAGNE,T,148.254135079
MA CAMPAGNE,B,138.902076478
MABRU,T,103.491674968
MACHTENS,B,108.245238544
MADOU,M,126.395695607
MADOU,B,127.048906519
MADOUX,T,118.377166608
MAELBEEK,M,89.314372816
MAELBEEK,B,143.136719400
MAES,B,123.413451374
MAI,B,127.909184302
MAISON D'ERASME,B,124.484764543
MALIBRAN,B,139.856104064
MANNEKEN-PIS,B,180.166716285
MANOIR D'ANJOU,B,136.683268229
MARCEL THIRY,B,131.800079334
MAREYDE,B,153.764318992
MARGUERITE,B,127.162842339
MARGUERITE DURAS,T,138.334144610
MARICOLLES,B,122.467018470
MARIE CURIE,B,165.482323232
MARIE DEPAGE,B,183.236620416
MARIE-CHRISTINE,T,129.760530750
MARIE-CHRISTINE,B,197.410349288
MARIE-JOSE,T,115.111015491
MARIUS RENARD,T,94.111736811
MARLOW,T,120.354118553
MARLY,B,168.438135087
MARMOTTE,B,197.125647668
MARTIN LUTH. KING,B,160.162104133
MASUI,T,109.115083688
MASUI,B,136.073337751
MATISSE,B,116.793721973
MAX WALLER,T,119.513108614
MAX WALLER,B,174.172930904
MAX-PLASKY,B,128.235939158
MEIR,T,88.055714969
MEIR,B,93.509152720
MEISER,T,123.711822277
MEISER,B,157.420292823
MELARD,B,136.232551233
MENNEKENS,T,103.546588320
MERCATOR,B,153.623445826
MERCHTEM,B,143.982966643
MERCURE,B,165.509001200
MERLO,T,110.447903917
MERODE,T,91.045268612
MERODE,M,92.072866143
MERODE,B,144.745225438
MERTENS,B,147.614015977
MESSIDOR,T,109.625510990
MEUDON,B,145.954236729
MEYLEMEERSCH,B,162.869995290
MICHEL-ANGE,B,157.045694200
MICHIELS,B,150.147651007
MIDDELWEG,B,157.525679758
MINNEMOLEN,B,165.837563452
MIRAVAL,B,149.644755245
MIROIR,T,105.050772912
MIROIR,B,125.363861004
MOENSBERG GARE,B,173.423563081
MOLIERE,T,151.561326658
MOLIERE-LONGCHAMP,B,132.249140356
MOMMAERTS,B,160.202677313
MONACO,T,118.032441860
MONNOYER,B,154.018124507
MONT KEMMEL,B,114.004072883
MONTALD,B,142.640625
MONTANA,B,154.946937439
MONTGOMERY,T,96.123951368
MONTGOMERY,M,90.378732200
MONTGOMERY,B,133.277048774
MONTJOIE,B,117.087470449
MOONENS,B,141.631299735
MOORSLEDE,T,98.574393109
MOORTEBEEK,B,61.071447265
MORIS,T,109.046584479
MOSTINCK,B,145.925696594
MOUETTES,B,152.991831605
MOUNIER,B,161.480046948
MOZART,B,162.813411079
MUSEE D'IXELLES,B,92.703640403
MUSEE DU TRAM,T,120.559395962
MUSEE DU TRAM,B,161.386271871
MUSEUM,B,119.803578324
MYSTERE,B,126.262806449
NAPOLEON,B,188.133333333
NATATION,B,146.057942058
NEERPEDE,B,77.942212675
NEERSTALLE,T,115.281071117
NEERSTALLE,B,170.346932420
NEKKERSDAL,B,162.062678742
NEREUS,B,142.071886232
NERVIENS,B,153.274549098
NEUBERGER,B,126.092470702
NICOLAY,B,93.795381970
NOTRE-DAME,B,118.606088142
OBSERVATOIRE,B,142.137391562
OCEAN ATLANTIQUE,B,147.570231959
ODON WARLAND,T,100.064280388
ONZE NOVEMBRE,B,149.909227589
OPALE,B,143.268497758
OPPEM,B,92.774647887
OPPEMSTRAAT,T,123.782620922
OPTIMISME,B,137.857769799
ORBAN,T,110.384391804
ORBAN,B,127.980450292
OSSEGHEM,M,130.911534377
OSSEGHEM,B,136.883463620
OUD KAPELLEKE,B,141.089604782
PADDOCK,B,139.259588400
PADUWA,B,131.722799948
PAGODES,B,146.119003388
PAIX,T,74.865744508
PAIX,B,130.213094950
PALAIS,T,101.870988176
PALAIS 12,B,175.858021527
PALFIJN,B,150.710679612
PAMPOEL,B,158.932503888
PANNENHUIS,M,143.661088401
PAPENKASTEEL,B,155.868894602
PARC,T,100.247451044
PARC,M,88.919019252
PARC DES SOURCES,T,119.036400662
PARC ELISABETH,B,133.132139719
PARC LEOPOLD,B,148.621825458
PARC MALOU,B,138.719216418
PARC MONNET,B,120.260038735
PARC SENY,T,113.583790133
PARC VIVES,T,84.794435352
PARVIS ST-GILLES,T,108.589865250
PASTEUR,B,182.404629113
PATHE,B,195.423040604
PATRIE,T,194.625102768
PATRIE,B,133.476143141
PATTON,B,117.717575758
PAUL LEDUC,B,148.223209618
PAULSEN,B,118.218269858
PAVILLON,T,81.877700233
PAVILLON,B,135.656818182
PAVILLONS MEUDON,B,158.667140825
PEAGE,B,139.691701464
PECHERIES,B,155.258594918
PENTATHLON,T,191.273331119
PERMEKE,B,137.829705336
PETER BENOIT,B,132.737790806
PETERBOS,B,125.593999378
PETILLON,T,104.407087087
PETILLON,M,91.950815180
PETIT SABLON,T,99.444367315
PETIT SABLON,B,113.987949703
PETITE ILE,B,109.929411765
PEUPLIERS,B,122.012952125
PEYO,B,182.735670023
PICARD,B,165.809639530
PICARDIE,B,167.797593772
PLACE R. ASTRID,T,101.287707838
PLACE SAINT-JOB,T,117.784802242
PLACE SAINT-JOB,B,159.226964113
PLACE ST-PIERRE,T,94.822295806
PLACE V. HORTA,B,51.363636364
PLAINE DES SPORTS,B,184.646981627
PLASKY,B,140.265555482
PLEIADES,B,141.151335534
POELAERT,T,99.056276172
POELAERT,B,127.514170040
POGGE,B,173.932984699
POLYCL. BRUGMANN,T,97.399797699
POMMIER,B,131.454165876
PONT ALBERT,B,153.477132806
PORTE DE FLANDRE,T,112.567226098
PORTE DE FLANDRE,B,180.546466809
PORTE DE HAL,T,108.479218326
PORTE DE HAL,M,127.309437855
PORTE DE HAL,B,135.164989059
PORTE DE NAMUR,M,126.787194364
PORTE DE NAMUR,B,126.234482391
PORTE DE NINOVE,T,112.769777292
PORTE DE NINOVE,B,182.834488068
POUCHKINE,B,160.166440085
PRES COMMUNS,B,131.347477413
PRESSE,B,124.700256701
PRINC. CLEMENTINE,T,101.827477714
PRINC. ELISABETH,T,97.993686627
PRINC. ELISABETH,B,151.959343452
PRINCE D'ORANGE,B,192.596107705
PRINCE DE LIEGE,B,129.602810278
PRINCE LEOPOLD,B,153.491717937
PRISON,B,132.822111181
PTE D'ANDERLECHT,T,114.307770571
PTE D'ANDERLECHT,B,89.689126514
QUART.ST-BONIFACE,B,104.302855527
QUATRE BRAS,T,122.776982097
QUATRE-VENTS,T,105.903861397
QUATRE-VENTS,B,139.807062359
QUETELET,B,106.173262770
RACING,B,206.289915966
RADIUM,B,129.194894366
RAMIER,B,112.464210155
RAVENSTEIN,T,121.650678867
REINE ASTRID,B,182.882769473
RELAIS,B,101.697095436
RENE GOBERT,B,114.236808780
RENE HENRY,B,179.745899435
RENIERS,B,152.819526627
RESISTANCE,T,103.178082192
RESISTANCE,B,110.702648475
RIBAUCOURT,T,134.908402021
RIBAUCOURT,M,126.508686454
RIBAUCOURT,B,156.979126928
RIETHUISEN,B,132.961127416
RING 0,B,177.054562559
RITTWEGER,T,111.724687557
RITTWEGER,B,176.241531889
RIVE DROITE,B,156.756168360
RIVE GAUCHE,B,170.664970930
ROBIANO,T,87.834628191
ROCHEFORT,T,126.096391888
ROCHEFORT,B,132.537589956
RODIN,B,100.698232599
RODTS,T,106.345049003
ROFFIAEN,T,99.489484127
ROGIER,T,108.529779445
ROGIER,M,126.091434349
ROGIER,B,158.886981402
ROI BAUDOUIN,M,117.824620573
ROI BAUDOUIN,B,147.477399381
ROI VAINQUEUR,B,149.999683544
RONCES,B,192.337770383
ROND-PT SOUVERAIN,T,114.604179761
ROODEBEEK,T,136.319769831
ROODEBEEK,M,89.301309460
ROODEBEEK,B,124.812148538
ROODENBERG,B,108.629565217
ROOSENDAEL,B,141
ROSA PARKS,B,129.532880845
ROUGE-CLOITRE,B,111.022284123
ROUPPE,B,179.564637681
ROYALE,T,99.001953507
ROYALE,B,108.588174630
RTL HOUSE,B,158.715570786
RUE AU BOIS,T,118.334859839
RUE AU BOIS,B,145.949597728
RUE DE L'OBUS,B,164.933490443
RUE LONGUE,B,161.358778626
RUE TRAVERSIERE,B,154.219347582
RUISBROEK CENTRUM,B,160.677258403
RUISSEAU,T,119.146070076
SABCA,B,152.810887097
SACRE-COEUR,B,145.006076389
SAINCTELETTE,T,134.283198649
SAINT-ANTOINE,B,121.601622545
SAINT-DENIS,T,116.564378947
SAINT-DENIS,B,155.768125914
SAINT-GERY,B,105.378401361
SAINT-GUIDON,T,101.915872694
SAINT-GUIDON,M,89.003885759
SAINT-GUIDON,B,110.440091686
SAINT-JOSSE,B,126.210538205
SAINT-LAMBERT,T,84.199636123
SAINT-LOUIS,B,146.730058366
SAINT-VINCENT,B,118.884863042
SAINTE-ALIX,B,137.343742877
SAINTE-ALLIANCE,B,188.752971688
SAINTE-ANNE,B,115.525024534
SAINTE-CATHERINE,M,90.283440195
SAINTE-FAMILLE,B,167.811892381
SAINTE-MARIE,T,95.190464548
SAVONNERIE,B,164.662027833
SCHAERBEEK GARE,B,153.627321750
SCHERDEMAEL,B,76.464266131
SCHEUT,B,165.554104758
SCHOLA EUROPEA,B,120.282222222
SCHOONEJANS,B,145.116068433
SCHUMAN,M,90.861039694
SCHUMAN,B,143.304176914
SCHWEITZER,T,101.418783053
SCHWEITZER,B,143.298327759
SCIENCE,B,116.527494908
SEPT ETOILES,B,106.629870130
SERBIE,B,129.697709924
SERRES ROYALES,B,124.000647983
SIBELIUS,B,75.992339611
SIMONIS,T,127.946057184
SIMONIS,M,138.230000746
SIMONIS,B,118.217266776
SIMPSON,B,122.734654422
SIPPELBERG,B,103.408798910
SLEGERS,B,139.421634911
SOLBOSCH,T,114.131929390
SORENSEN,B,125.544307233
SPEECKAERT,B,128.477227723
SPORTCENTRUM,B,162.349056604
SQ. DU CENTENAIRE,T,117.652578691
SQ. DU CENTENAIRE,B,159.253425943
STADE,T,105.308997135
STADE FALLON,B,140.886327078
STALLE (P),T,92.872513149
STATION LOT,B,142.934560327
STATUAIRES,B,154.758614778
STEPHANIE,T,118.741115833
STEPHENSON,B,137.571802022
STEURS,B,149.247958258
STIENON,T,98.183294088
STIENON,B,145.891500904
STIJN STREUVELS,B,191.941446613
STOCKEL,T,119.547371266
STOCKEL,M,85.099286678
STOCKEL,B,143.911533816
STRATEGIE,B,111.632161874
STUYVENBERGH,T,92.176139561
STUYVENBERGH,M,143.307437560
SUEDE,T,107.285432132
SUEDE,B,134.805672564
TAMARIS,B,128.302940167
TENREUKEN,T,116.454251150
TER MEEREN,T,120.340986395
TERCOIGNE,B,177.059206246
TERDELT,B,115.113757134
TERVUREN STATION,T,128.936663693
THEVENET,T,125.743557030
THIEFFRY,M,88.417649992
THIEFFRY,B,156.235190487
THIRY-WOLUWE,B,140.519652801
THOMAS,T,121.430950666
THUMAS,B,119.886520376
THYM,B,128.405398712
THYS,B,98.091513492
TILLEUL,T,75.889925032
TIMMERMANS,B,131.863136758
TIR AUX PIGEONS,T,125.004672058
TOMBERG,M,90.049376559
TOMBERG,B,141.874400590
TOULOUSE,B,148.858954041
TOUR ET TAXIS,B,152.599813378
TOURNOI,B,134.566512244
TRANSVAAL,B,111.151228733
TRASSERSWEG,B,126.533819815
TREFLES,B,161.208921256
TREURENBERG,B,131.705065488
TREVES,B,149.189225941
TRIANGLE,T,112.992281568
TRIANGLE,B,182.618423789
TRINITE,T,85.494280554
TRINITE,B,133.878285654
TRITOMAS,B,154.649468892
TROIS COULEURS,T,121.480961538
TROIS PERTUIS,B,171.296536797
TRONE,M,126.310375276
TRONE,B,116.787953819
TWEE LEEUWENWEG,B,169.114530926
TWYENINCK,B,117.086894361
UCCLE CALEVOET,T,110.506639428
UCCLE CALEVOET,B,158.813795647
UCCLE SPORT,B,170.732905983
UCCLE-STALLE,B,107.005037116
UCL SAINT-LUC,B,119.978146853
ULB,T,114.062183170
ULB,B,94.786457900
UNION,T,120.023446942
UZ BRUSSEL,T,119.342867294
UZ BRUSSEL,B,157.289843328
UZ-PEDIATRIE,T,120.469025051
UZ-PEDIATRIE,B,157.130378997
UZ-VUB,B,167.671475330
VAL DES SEIGNEURS,B,138.752613240
VAL MARIA,B,154.150229441
VALDUC,B,111.000465549
VALIDA,T,102.552907739
VAN BEETHOVEN,T,83.225343694
VAN BEETHOVEN,B,171.861248316
VAN BEVER,B,190.231387087
VAN CUTSEM,T,69.814015152
VAN EYCK,B,132.012466058
VAN HAELEN,T,119.845855550
VAN KALKEN,B,116.975503187
VAN PRAET,T,88.902687166
VAN PRAET,B,164.842394289
VAN ZANDE,T,105.695753195
VANDENHOVEN,B,128.564307635
VANDER ELST,B,131.340098545
VANDER MEERSCHEN,B,139.912073827
VANDERKINDERE,T,109.852570783
VANDERSTICHELEN,T,136.831719787
VANDERSTICHELEN,B,173.188850174
VANDERVELDE,M,90.228443584
VANDROMME,B,110.258671780
VANHELLEMONT,B,77.117353059
VANHUFFEL,B,157.681769609
VANNE,B,135.606963958
VARIA,B,153.737112252
VEEWEYDE,M,89.704636678
VEEWEYDE,B,116.560618729
VERBEYST,B,159.974770039
VERBOEKHOVEN,T,79.239188672
VERBOEKHOVEN,B,153.390452030
VEREMAN,T,93.611983293
VERGER,B,152.058364070
VERGOTE,B,151.066529621
VERHEYLEWEGHEN,B,138.309776913
VERREWINKEL,B,182.391774892
VERSAILLES,B,148.079981802
VERT CHASSEUR,B,153.589912281
VETERANS COLON.,B,167.041765794
VETERINAIRES,B,102.853028798
VIADUC E40,B,88.568393363
VICTOR ALLARD,B,148.083274399
VICTOR HUGO,B,155.588018868
VIER FONTEINEN,B,149.860252005
VIER HUISKENS,B,198.785100287
VIEUX CHEMIN,B,167.506187818
VIGNETTE,B,150.288706257
VILLON,B,130.049913941
VILVOORDE STATION,B,117.593223906
VINCOTTE,B,127.433621605
VIOLETTES,B,183.923745174
VIVIER D'OIE,B,131.776847613
VLEURGAT,T,105.303980019
VLEURGAT,B,139.547610253
VLIERKENS,B,174.824779249
VOETBALCLUB,B,139.097636177
VOISINS,B,196.946969697
VOLTAIRE,B,173.227051178
VOOT,T,113.657856700
VOOT,B,140.187899787
VTM,B,179.044527435
VUB,T,100.062822719
WAELHEM,T,89.672468594
WAGON,T,102.387483740
WAGON,B,196.561652281
WAPPERS,B,143.837720488
WASHINGTON,B,156.218421800
WATERBURY,B,145.827371695
WATERLOO WILSON,B,128.453101588
WATERMAEL GARE,B,152.258472433
WAUTERS,B,168.725897921
WAXWEILER,B,167.285714286
WERY,B,145.923390672
WESTLAND SHOPPING,B,119.321167012
WIELS,T,117.269539265
WIELS,B,130.906293706
WIENER,T,116.564155629
WIENER,B,136.220520674
WILLEBROEK,B,151.117507088
WILLEMYNS,B,131.224573299
WINTEROY,B,143.186855670
WITLOOF,B,120.521475257
WOESTE,T,98.465448769
WOESTE,B,128.205970149
WOLUWE SHOPPING,T,113.717325989
WOLVENDAEL,T,123.169412289
WTC,B,133.747265943
YSAYE,T,85.124844566
YSAYE,B,180.788565264
YSER,T,134.308317892
YSER,M,127.153840897
YSER,B,99.667676179
ZAMAN-FOREST NAT.,T,118.888295688
ZAVELPUT,B,120.986256375
ZEECRABBE,B,152.982026511
ZENOBE GRAMME,B,269.415233415
ZEPHYR,B,159.976899527
